count,.pred,by5,isPred,Peak,isPeak,upper,lower
94,91.81679853165969,2023-05-03 17:20:00,0,85.16375268753096,0,NA,NA
92,93.73830003689342,2023-05-03 17:25:00,0,85.16375268753096,0,NA,NA
89,91.69974742549981,2023-05-03 17:30:00,0,85.16375268753096,0,NA,NA
85,88.51775171581323,2023-05-03 17:35:00,0,85.16375268753096,0,NA,NA
83,84.11197388629047,2023-05-03 17:40:00,0,85.16375268753096,0,NA,NA
88,81.91289597176896,2023-05-03 17:45:00,0,85.16375268753096,0,NA,NA
88,88.11261268001023,2023-05-03 17:50:00,0,85.16375268753096,0,NA,NA
84,88.09970717694935,2023-05-03 17:55:00,0,85.16375268753096,0,NA,NA
84,82.74186921384725,2023-05-03 18:05:00,0,85.16375268753096,0,NA,NA
79,83.20957646952822,2023-05-03 18:10:00,0,85.16375268753096,0,NA,NA
73,77.90191158593554,2023-05-03 18:15:00,0,85.16375268753096,0,NA,NA
73,71.25145562592722,2023-05-03 18:20:00,0,85.16375268753096,0,NA,NA
84,71.2624767692014,2023-05-03 18:25:00,0,85.16375268753096,0,NA,NA
81,83.94849871179375,2023-05-03 18:30:00,0,85.16375268753096,0,NA,NA
84,80.6597671426931,2023-05-03 18:35:00,0,85.16375268753096,0,NA,NA
86,83.014130001579,2023-05-03 18:40:00,0,85.16375268753096,0,NA,NA
79,85.8764335135717,2023-05-03 18:45:00,0,85.16375268753096,0,NA,NA
75,78.28301689840156,2023-05-03 18:50:00,0,85.16375268753096,0,NA,NA
69,73.16806619698836,2023-05-03 18:55:00,0,85.16375268753096,0,NA,NA
72,66.56745635073452,2023-05-03 19:00:00,0,85.16375268753096,0,NA,NA
75,71.4589899858863,2023-05-03 19:05:00,0,85.16375268753096,0,NA,NA
71,75.32437955326647,2023-05-03 19:10:00,0,85.16375268753096,0,NA,NA
75,69.36462196455204,2023-05-03 19:15:00,0,85.16375268753096,0,NA,NA
81,74.25388778540142,2023-05-03 19:20:00,0,85.16375268753096,0,NA,NA
77,81.03761016195338,2023-05-03 19:25:00,0,85.16375268753096,0,NA,NA
75,75.76230632306974,2023-05-03 19:30:00,0,85.16375268753096,0,NA,NA
71,74.19740219946176,2023-05-03 19:35:00,0,85.16375268753096,0,NA,NA
68,69.85455508968,2023-05-03 19:40:00,0,85.16375268753096,0,NA,NA
62,66.53471757936349,2023-05-03 19:45:00,0,85.16375268753096,0,NA,NA
67,60.0643376551887,2023-05-03 19:50:00,0,85.16375268753096,0,NA,NA
68,65.9012933447044,2023-05-03 19:55:00,0,85.16375268753096,0,NA,NA
66,67.24128030480914,2023-05-03 20:00:00,0,85.16375268753096,0,NA,NA
69,66.21580179671389,2023-05-03 20:05:00,0,85.16375268753096,0,NA,NA
71,69.6868602311191,2023-05-03 20:10:00,0,85.16375268753096,0,NA,NA
74,71.3458241815154,2023-05-03 20:15:00,0,85.16375268753096,0,NA,NA
73,74.1704760229624,2023-05-03 20:20:00,0,85.16375268753096,0,NA,NA
75,73.69143356640606,2023-05-03 20:25:00,0,85.16375268753096,0,NA,NA
80,76.09225364139522,2023-05-03 20:30:00,0,85.16375268753096,0,NA,NA
81,81.58739239809803,2023-05-03 20:35:00,0,85.16375268753096,0,NA,NA
87,81.83622524502724,2023-05-03 20:40:00,0,85.16375268753096,0,NA,NA
84,87.88404922051632,2023-05-03 20:45:00,0,85.16375268753096,0,NA,NA
78,83.78833119971374,2023-05-03 20:50:00,0,85.16375268753096,0,NA,NA
